QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q89427595,Nicole Saphier,American radiologist and media personality,"['radiologist', 'medical journalist']",61,"['american', 'physiologist', 'pathologist', 'cardiologist', 'endocrinologist']",4.7110753,5.0843387
Q21392291,Emma Teeling,Irish zoologist and geneticist,"['zoologist', 'geneticist']",76,"['zoologist', 'american', 'british', 'australian', 'german']",1.2161881,10.80272
Q53424483,Amy Simon,researcher,['researcher'],3,"['researcher', 'scientist', 'author', 'ai', 'university']",14.515513,22.588818
Q6712355,Mimi R. Koehl,American marine biologist,"['marine biologist', 'researcher']",40,"['marine', 'american', 'biologist', 'oceanographer', 'ecologist']",16.422132,-0.3003576
Q95951033,Sheila Colla,Canadian conservation biologist (1982–2025),"['conservation biologist', 'entomologist']",6,"['canadian', 'scientist', 'biologist', 'researcher', 'physicist']",3.8710868,9.540295
Q56046038,Christa Peters-Lidard,American hydrologist,['hydrologist'],32,"['american', 'ecologist', 'environmental', 'scientist', 'professor']",14.8462305,-0.03392986
Q58033300,Melanie Campbell,professor of physics,['physicist'],9,"['professor', 'university', 'chemistry', 'american', 'engineering']",14.756018,7.8367276
Q18926913,Ruth Hubbard Cousins,American psychologist,['psychologist'],73,"['american', 'psychologist', 'clinical', 'psychiatrist', 'cognitive']",-9.638771,11.119321
Q102391913,J. Ritchie Patterson,American physicist,"['physicist', 'researcher']",44,"['physicist', 'american', 'british', 'space', 'physics']",-4.6792774,-4.809521
Q28925099,E. Virginia Armbrust,biological oceanographer,"['oceanographer', 'university teacher', 'academic', 'marine biologist', 'ecologist']",40,"['marine', 'american', 'biologist', 'oceanographer', 'ecologist']",16.539024,-0.4106204
Q4948829,Pam Fredman,"President of the International Association of Universities, Professor of Neurochemistry",['chemical engineer'],36,"['american', 'neurologist', 'neurobiologist', 'neuroscientist', 'researcher']",2.0008705,-0.78705513
Q4988268,Drude Dahlerup,Danish politician,"['politician', 'political scientist']",29,"['swedish', 'dutch', 'danish', 'scientist', 'academic']",10.741607,7.450145
Q1651259,Sabine Doering-Manteuffel,German ethnologist and university teacher (born 1957),"['university teacher', 'ethnologist']",88,"['german', 'mathematician', 'scientist', 'physicist', 'biologist']",11.599253,7.2544365
Q27978994,Helen Nibouar,American cryptographer,['cryptographer'],14,"['computer', 'scientist', 'american', 'british', 'researcher']",9.372769,-7.493142
Q9616386,Anne Bosworth Focke,American mathematician,['mathematician'],20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",9.080311,-9.507168
Q56554628,Carole Tucker,researcher,['astronomer'],3,"['researcher', 'scientist', 'author', 'ai', 'university']",14.499084,22.57669
Q18926883,Penny Budoff,American medical researcher,['writer'],92,"['researcher', 'american', 'health', 'medical', 'public']",5.3546953,5.606542
Q3299110,Matilda Smith,British botanical illustrator and botanist (1854-1926),"['botanical illustrator', 'scientific illustrator', 'botanist']",94,"['illustrator', 'british', 'scientific', 'botanical', 'artist']",11.01648,11.027845
Q97434513,Deborah E. Citrin,American clinician-scientist,"['physician-scientist', 'cancer researcher', 'radiation therapist']",61,"['american', 'physiologist', 'pathologist', 'cardiologist', 'endocrinologist']",5.577766,5.551904
Q113664910,Keneiloe Molopyane,Archaeologist from South Africa,"['archaeologist', 'paleoanthropologist']",24,"['archaeologist', 'american', 'anthropologist', 'chinese', 'classical']",10.059019,4.290113
